GBTB1.00
base:*d,d,s,"s","d","d","d","d","d","s","s",d,d,d,s,"s","s","s","s","s","d"
16,1,超大植物室,"建筑图纸7×7",5000,0,0,20,,"125,0,0,0","0,125,0,0",0,61,355,baseimg/7&7.ale,"baseimg/7&7.gif","baseimg/7&7wk.ale","room006","SetPut(7,7)","('木材',7,'初级祝福木材',8,'中级祝福木材',10,'竹材',7,'初级祝福竹材',8,'中级祝福竹材',10,'石材',20,'花岗岩石材',20,'大理石板',95,'铁块',8,'铜块',10,'银块',9)",""
17,2,简单饲养屋,"建筑图纸3×3",20,0,0,3,,"8,0,3,0","0,0,0,0",0,48,174,baseimg/3&3.ale,baseimg/3&3.gif,"baseimg/3&3wk.ale","room001","SetPut(3,3)","('木材',4,'石材',8,'铁块',2)",""
18,2,小饲养屋,"建筑图纸3×3",40,0,0,5,,"15,0,6,0","0,0,0,0",0,78,350,"baseimg/3&3.ale",baseimg/3&3_.gif,"baseimg/3&3wk.ale","room002","SetPut(3,3)","('木材',4,'竹材',3,'石材',20,'铁块',4)",""
19,2,饲养屋1,"建筑图纸3×5",120,0,0,7,,"35,0,14,0","0,0,0,0",0,90,407,baseimg/3&5.ale,baseimg/3&5.gif,"baseimg/3&5wk.ale","room003","SetPut(5,3)","('木材',7,'竹材',7,'石材',40,'铁块',8)",""
20,2,饲养屋2,"建筑图纸5×3",120,0,0,7,,"35,0,14,0","0,0,0,0",0,97,375,baseimg/5&3.ale,baseimg/5&3.gif,"baseimg/5&3wk.ale","room003","SetPut(3,5)","('木材',7,'竹材',7,'石材',40,'铁块',8)",""
21,2,中型饲养屋,建筑图纸5×5,500,0,0,10,,"60,0,24,0","0,0,0,0",0,90,376,baseimg/5&5.ale,baseimg/5&5.gif,"baseimg/5&5wk.ale","room004","SetPut(5,5)","('木材',7,'初级祝福木材',3,'竹材',7,'初级祝福竹材',3,'石材',20,'花岗岩石材',40,'铁块',8,'铜块',4)",""
22,2,大型饲养屋1,"建筑图纸5×7",1800,0,0,14,,"90,0,36,0","0,0,0,0",0,93,393,baseimg/5&7.ale,"baseimg/5&7.gif","baseimg/5&7wk.ale","room005","SetPut(7,5)","('木材',7,'初级祝福木材',8,'竹材',7,'初级祝福竹材',8,'石材',20,'花岗岩石材',70,'铁块',8,'铜块',10)",""
23,2,大型饲养屋2,"建筑图纸7×5",1800,0,0,14,,"90,0,36,0","0,0,0,0",0,88,361,baseimg/7&5.ale,"baseimg/7&5.gif","baseimg/7&5wk.ale","room005","SetPut(5,7)","('木材',7,'初级祝福木材',8,'竹材',7,'初级祝福竹材',8,'石材',20,'花岗岩石材',70,'铁块',8,'铜块',10)",""
24,2,超大饲养屋,"建筑图纸7×7",5000,0,0,20,,"125,0,50,0","0,0,0,0",0,61,355,baseimg/7&7.ale,"baseimg/7&7.gif","baseimg/7&7wk.ale","room006","SetPut(7,7)","('木材',7,'初级祝福木材',8,'中级祝福木材',10,'竹材',7,'初级祝福竹材',8,'中级祝福竹材',10,'石材',20,'花岗岩石材',20,'大理石板',95,'铁块',8,'铜块',10,'银块',9)",""
26,3,普通装饰,"装饰图纸2×2",10,0,0,2,,"0,0,0,0","0,0,0,0",0,37,109,baseimg/2&2.ale,"baseimg/2&2.gif","baseimg/2&2wk.ale","","SetPut(2,2)","('木材',1,'石材',2)",""
27,3,精致装饰1,"装饰图纸2×3",15,0,0,3,,"0,0,0,0","0,0,0,0",0,37,116,baseimg/2&3.ale,"baseimg/2&3.gif","baseimg/2&3wk.ale","","SetPut(3,2)","('木材',1,'石材',2,'铁块',1)",""
28,3,精致装饰2,"装饰图纸3×2",15,0,0,3,,"0,0,0,0","0,0,0,0",0,37,100,baseimg/3&2.ale,"baseimg/3&2.gif","baseimg/3&2wk.ale","","SetPut(2,3)","('木材',1,'石材',2,'铁块',1)",""
29,3,简单装饰,"装饰图纸3×3",20,0,0,3,,"0,0,0,0","0,0,0,0",0,48,174,baseimg/3&3.ale,baseimg/3&3.gif,"baseimg/3&3wk.ale","","SetPut(3,3)","('木材',2,'石材',4,'铁块',1)",""
30,3,小装饰,"装饰图纸3×3",40,0,0,5,,"0,0,0,0","0,0,0,0",0,78,350,"baseimg/3&3.ale",baseimg/3&3_.gif,"baseimg/3&3wk.ale","","SetPut(3,3)","('木材',2,'竹材',2,'石材',10,'铁块',2)",""
31,3,装饰1,"装饰图纸3×5",120,0,0,7,,"0,0,0,0","0,0,0,0",0,90,407,baseimg/3&5.ale,baseimg/3&5.gif,"baseimg/3&5wk.ale","","SetPut(5,3)","('木材',4,'竹材',4,'石材',20,'铁块',4)",""
32,3,装饰2,"装饰图纸5×3",120,0,0,7,,"0,0,0,0","0,0,0,0",0,97,375,baseimg/5&3.ale,baseimg/5&3.gif,"baseimg/5&3wk.ale","","SetPut(3,5)","('木材',4,'竹材',4,'石材',20,'铁块',4)",""
33,3,中型装饰,装饰图纸5×5,500,0,0,10,,"0,0,0,0","0,0,0,0",0,90,376,baseimg/5&5.ale,baseimg/5&5.gif,"baseimg/5&5wk.ale","","SetPut(5,5)","('木材',4,'初级祝福木材',2,'竹材',4,'初级祝福竹材',2,'石材',10,'花岗岩石材',20,'铁块',4,'铜块',2)",""
34,3,大型装饰1,"装饰图纸5×7",1800,0,0,14,,"0,0,0,0","0,0,0,0",0,93,393,baseimg/5&7.ale,"baseimg/5&7.gif","baseimg/5&7wk.ale","","SetPut(7,5)","('木材',4,'初级祝福木材',4,'竹材',4,'初级祝福竹材',4,'石材',10,'花岗岩石材',35,'铁块',4,'铜块',5)",""
35,3,大型装饰2,"装饰图纸7×5",1800,0,0,14,,"0,0,0,0","0,0,0,0",0,88,361,baseimg/7&5.ale,"baseimg/7&5.gif","baseimg/7&5wk.ale","","SetPut(5,7)","('木材',4,'初级祝福木材',4,'竹材',4,'初级祝福竹材',4,'石材',10,'花岗岩石材',35,'铁块',4,'铜块',5)",""
36,3,超大装饰,"装饰图纸7×7",5000,0,0,20,,"0,0,0,0","0,0,0,0",0,61,355,baseimg/7&7.ale,"baseimg/7&7.gif","baseimg/7&7wk.ale","","SetPut(7,7)","('木材',4,'初级祝福木材',4,'中级祝福木材',5,'竹材',4,'初级祝福竹材',4,'中级祝福竹材',5,'石材',10,'花岗岩石材',10,'大理石板',45,'铁块',4,'铜块',5,'银块',5)",""
37,0,豪华别墅,"建筑图纸11×11",8000,0,0,20,,"330,0,0,0","0,0,0,0",0,61,440,baseimg/11&11.ale,"baseimg/11&11.gif","baseimg/11&11wk.ale","room007","SetPut(11,11)","('木材',10,'中级祝福木材',15,'高级光明木材',10,'竹材',15,'中级祝福竹材',12,'高级祝福竹材',10,'石材',50,'花岗岩石材',40,'铁块',15,'银块',12,'秘银锭',10,'多尔石',50)",""																																														
100,100,动物孕育场,"孕育场建造图纸",0,0,0,0,,"0,0,0,0","0,0,0,0",0,61,355,baseimg/7&7.ale,"baseimg/7&7.gif","baseimg/3&3wk.ale","","SetPut(4,4)","",""
101,100,动物小屋,"动物小屋图纸",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,baseimg/2&2.ale,"baseimg/2&2.gif","baseimg/2&2wk.ale","","SetPut(2,2)","",""
201,4,普通建筑,"高级装饰图纸2×2",10,0,0,2,1,"0,0,0,0","0,0,0,0",0,37,109,baseimg/2&2.ale,"baseimg/2&2.gif","baseimg/2&2wk.ale","","SetPut(2,2)","('木材',1,'石材',2,'七彩宝石',3,'百锻精钢',3,'五色晶沙',3,'沉香木料',3,'生物凝胶',3)",""
202,4,精致建筑1,"高级装饰图纸2×3",15,0,0,3,1,"0,0,0,0","0,0,0,0",0,37,116,baseimg/2&3.ale,"baseimg/2&3.gif","baseimg/2&3wk.ale","","SetPut(3,2)","('木材',1,'石材',2,'铁块',1,'七彩宝石',4,'百锻精钢',4,'五色晶沙',4,'沉香木料',4,'生物凝胶',4)",""
203,4,精致建筑2,"高级装饰图纸3×2",15,0,0,3,1,"0,0,0,0","0,0,0,0",0,37,100,baseimg/3&2.ale,"baseimg/3&2.gif","baseimg/3&2wk.ale","","SetPut(2,3)","('木材',1,'石材',2,'铁块',1,'七彩宝石',4,'百锻精钢',4,'五色晶沙',4,'沉香木料',4,'生物凝胶',4)",""
204,4,简单建筑,"高级装饰图纸3×3",20,0,0,3,2,"0,0,0,0","0,0,0,0",0,48,174,baseimg/3&3.ale,baseimg/3&3.gif,"baseimg/3&3wk.ale","","SetPut(3,3)","('木材',2,'石材',4,'铁块',1,'七彩宝石',5,'百锻精钢',5,'五色晶沙',5,'沉香木料',5,'生物凝胶',5)",""
205,4,经济建筑,"高级装饰图纸3×3",40,0,0,5,3,"0,0,0,0","0,0,0,0",0,78,350,"baseimg/3&3.ale",baseimg/3&3_.gif,"baseimg/3&3wk.ale","","SetPut(3,3)","('木材',2,'竹材',2,'石材',10,'铁块',2,'七彩宝石',6,'百锻精钢',6,'五色晶沙',6,'沉香木料',6,'生物凝胶',6)",""
206,4,建筑1,"高级装饰图纸3×5",120,0,0,7,4,"0,0,0,0","0,0,0,0",0,90,407,baseimg/3&5.ale,baseimg/3&5.gif,"baseimg/3&5wk.ale","","SetPut(5,3)","('木材',4,'竹材',4,'石材',20,'铁块',4,'七彩宝石',9,'百锻精钢',9,'五色晶沙',9,'沉香木料',9,'生物凝胶',9)",""
207,4,建筑2,"高级装饰图纸5×3",120,0,0,7,4,"0,0,0,0","0,0,0,0",0,97,375,baseimg/5&3.ale,baseimg/5&3.gif,"baseimg/5&3wk.ale","","SetPut(3,5)","('木材',4,'竹材',4,'石材',20,'铁块',4,'七彩宝石',9,'百锻精钢',9,'五色晶沙',9,'沉香木料',9,'生物凝胶',9)",""
208,4,中型建筑,高级装饰图纸5×5,500,0,0,10,5,"0,0,0,0","0,0,0,0",0,90,376,baseimg/5&5.ale,baseimg/5&5.gif,"baseimg/5&5wk.ale","","SetPut(5,5)","('初级祝福木材',2,'初级祝福竹材',2,'花岗岩石材',20,'铜块',2,'七彩宝石',15,'百锻精钢',15,'五色晶沙',15,'沉香木料',15,'生物凝胶',15)",""
209,4,大型建筑1,"高级装饰图纸5×7",1800,0,0,14,7,"0,0,0,0","0,0,0,0",0,93,393,baseimg/5&7.ale,"baseimg/5&7.gif","baseimg/5&7wk.ale","","SetPut(7,5)","('初级祝福木材',4,'初级祝福竹材',4,'花岗岩石材',35,'铜块',5,'七彩宝石',20,'百锻精钢',20,'五色晶沙',20,'沉香木料',20,'生物凝胶',20)",""
210,4,大型建筑2,"高级装饰图纸7×5",1800,0,0,14,7,"0,0,0,0","0,0,0,0",0,88,361,baseimg/7&5.ale,"baseimg/7&5.gif","baseimg/7&5wk.ale","","SetPut(5,7)","('初级祝福木材',4,'初级祝福竹材',4,'花岗岩石材',35,'铜块',5,'七彩宝石',20,'百锻精钢',20,'五色晶沙',20,'沉香木料',20,'生物凝胶',20)",""
211,4,超大建筑,"高级装饰图纸7×7",5000,0,0,20,10,"0,0,0,0","0,0,0,0",0,61,355,baseimg/7&7.ale,"baseimg/7&7.gif","baseimg/7&7wk.ale","","SetPut(7,7)","('中级祝福木材',5,'中级祝福竹材',5,'大理石板',5,'银块',5,'七彩宝石',28,'百锻精钢',28,'五色晶沙',28,'沉香木料',28,'生物凝胶',28)",""
212,4,巨型建筑,"高级装饰图纸11×11",8000,0,0,35,20,"0,0,0,0","0,0,0,0",0,61,440,baseimg/11&11.ale,"baseimg/11&11.gif","baseimg/11&11wk.ale","","SetPut(11,11)","('中级祝福木材',15,'中级祝福竹材',15,'大理石板',15,'银块',15,'七彩宝石',45,'百锻精钢',45,'五色晶沙',45,'沉香木料',45,'生物凝胶',45)",""
213,100,"箭塔工地1","箭塔工地1",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/箭塔1建造.ale","baseimg/箭塔1建造.ale","baseimg/箭塔1建造.ale","","SetPut(3,3)","",""
214,100,"箭塔工地2","箭塔工地2",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/箭塔2建造.ale","baseimg/箭塔2建造.ale","baseimg/箭塔2建造.ale","","SetPut(3,3)","",""
215,100,"箭塔工地3","箭塔工地3",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/箭塔3建造.ale","baseimg/箭塔3建造.ale","baseimg/箭塔3建造.ale","","SetPut(3,3)","",""
216,100,"炮塔工地1","炮塔工地1",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/炮塔1建造.ale","baseimg/炮塔1建造.ale","baseimg/炮塔1建造.ale","","SetPut(3,3)","",""
217,100,"炮塔工地2","炮塔工地2",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/炮塔2建造.ale","baseimg/炮塔2建造.ale","baseimg/炮塔2建造.ale","","SetPut(3,3)","",""
218,100,"炮塔工地3","炮塔工地3",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/炮塔3建造.ale","baseimg/炮塔3建造.ale","baseimg/炮塔3建造.ale","","SetPut(3,3)","",""
219,100,"魔法塔工地1","魔法塔工地1",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/魔法塔1建造.ale","baseimg/魔法塔1建造.ale","baseimg/魔法塔1建造.ale","","SetPut(3,3)","",""
220,100,"魔法塔工地2","魔法塔工地2",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/魔法塔2建造.ale","baseimg/魔法塔2建造.ale","baseimg/魔法塔2建造.ale","","SetPut(3,3)","",""
221,100,"魔法塔工地3","魔法塔工地3",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/魔法塔3建造.ale","baseimg/魔法塔3建造.ale","baseimg/魔法塔3建造.ale","","SetPut(3,3)","",""
222,100,"毒塔工地1","毒塔工地1",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/毒塔1建造.ale","baseimg/毒塔1建造.ale","baseimg/毒塔1建造.ale","","SetPut(3,3)","",""
223,100,"毒塔工地2","毒塔工地2",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/毒塔2建造.ale","baseimg/毒塔2建造.ale","baseimg/毒塔2建造.ale","","SetPut(3,3)","",""
224,100,"毒塔工地3","毒塔工地3",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/毒塔3建造.ale","baseimg/毒塔3建造.ale","baseimg/毒塔3建造.ale","","SetPut(3,3)","",""
225,100,"骑乘塔工地1","骑乘塔工地1",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/骑乘塔1建造.ale","baseimg/骑乘塔1建造.ale","baseimg/骑乘塔1建造.ale","","SetPut(3,3)","",""
226,100,"骑乘塔工地2","骑乘塔工地2",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/骑乘塔2建造.ale","baseimg/骑乘塔2建造.ale","baseimg/骑乘塔2建造.ale","","SetPut(3,3)","",""
227,100,"骑乘塔工地3","骑乘塔工地3",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/骑乘塔3建造.ale","baseimg/骑乘塔3建造.ale","baseimg/骑乘塔3建造.ale","","SetPut(3,3)","",""
228,100,"竹子箭塔工地1","箭塔工地1",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/竹子箭塔1建造.ale","baseimg/竹子箭塔1建造.ale","baseimg/竹子箭塔1建造.ale","","SetPut(3,3)","",""
229,100,"竹子箭塔工地2","箭塔工地2",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/竹子箭塔2建造.ale","baseimg/竹子箭塔2建造.ale","baseimg/竹子箭塔2建造.ale","","SetPut(3,3)","",""
230,100,"竹子箭塔工地3","箭塔工地3",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/竹子箭塔3建造.ale","baseimg/竹子箭塔3建造.ale","baseimg/竹子箭塔3建造.ale","","SetPut(3,3)","",""
231,100,"水果炮塔工地1","炮塔工地1",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水果炮塔1建造.ale","baseimg/水果炮塔1建造.ale","baseimg/水果炮塔1建造.ale","","SetPut(3,3)","",""
232,100,"水果炮塔工地2","炮塔工地2",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水果炮塔2建造.ale","baseimg/水果炮塔2建造.ale","baseimg/水果炮塔2建造.ale","","SetPut(3,3)","",""
233,100,"水果炮塔工地3","炮塔工地3",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水果炮塔3建造.ale","baseimg/水果炮塔3建造.ale","baseimg/水果炮塔3建造.ale","","SetPut(3,3)","",""
234,100,"水产魔法塔工地1","魔法塔工地1",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水产魔法塔1建造.ale","baseimg/水产魔法塔1建造.ale","baseimg/水产魔法塔1建造.ale","","SetPut(3,3)","",""
235,100,"水产魔法塔工地2","魔法塔工地2",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水产魔法塔2建造.ale","baseimg/水产魔法塔2建造.ale","baseimg/水产魔法塔2建造.ale","","SetPut(3,3)","",""
236,100,"水产魔法塔工地3","魔法塔工地3",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水产魔法塔3建造.ale","baseimg/水产魔法塔3建造.ale","baseimg/水产魔法塔3建造.ale","","SetPut(3,3)","",""
237,100,"水产毒塔工地1","毒塔工地1",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水产毒塔1建造.ale","baseimg/水产毒塔1建造.ale","baseimg/水产毒塔1建造.ale","","SetPut(3,3)","",""
238,100,"水产毒塔工地2","毒塔工地2",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水产毒塔2建造.ale","baseimg/水产毒塔2建造.ale","baseimg/水产毒塔2建造.ale","","SetPut(3,3)","",""
239,100,"水产毒塔工地3","毒塔工地3",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水产毒塔3建造.ale","baseimg/水产毒塔3建造.ale","baseimg/水产毒塔3建造.ale","","SetPut(3,3)","",""
240,100,"水果骑乘塔工地1","骑乘塔工地1",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水果骑乘塔1建造.ale","baseimg/水果骑乘塔1建造.ale","baseimg/水果骑乘塔1建造.ale","","SetPut(3,3)","",""
241,100,"水果骑乘塔工地2","骑乘塔工地2",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水果骑乘塔2建造.ale","baseimg/水果骑乘塔2建造.ale","baseimg/水果骑乘塔2建造.ale","","SetPut(3,3)","",""
242,100,"水果骑乘塔工地3","骑乘塔工地3",0,0,0,0,,"0,0,0,0","0,0,0,0",0,34,114,"baseimg/水果骑乘塔3建造.ale","baseimg/水果骑乘塔3建造.ale","baseimg/水果骑乘塔3建造.ale","","SetPut(3,3)","",""
